model,metric-value,number-of-alt-considered,metric-value-percent,best-alt-not-explainable
model228.csv,22,26,84.6,"['234', '34', '24', '23']"
model126.csv,18,23,78.3,"['235', '135', '134', '34', '15']"
model231.csv,17,17,100.0,[]
model18.csv,18,21,85.7,"['134', '125', '34']"
model125.csv,17,23,73.9,"['235', '135', '125', '134', '25', '15']"
model131.csv,17,23,73.9,"['235', '234', '134', '125', '34', '24']"
model30.csv,20,23,87.0,"['234', '125', '24']"
model73.csv,15,20,75.0,"['145', '234', '125', '25', '34']"
model208.csv,19,24,79.2,"['234', '134', '34', '24', '23']"
model393.csv,20,24,83.3,"['234', '25', '24', '23']"
model410.csv,19,25,76.0,"['234', '125', '124', '25', '24', '23']"
model398.csv,18,25,72.0,"['145', '135', '134', '124', '34', '15', '14']"
model16.csv,16,21,76.2,"['234', '125', '134', '25', '34']"
model296.csv,17,19,89.5,"['145', '15']"
model492.csv,20,26,76.9,"['234', '134', '124', '34', '24', '23']"
model3.csv,17,18,94.4,['15']
model351.csv,20,25,80.0,"['234', '125', '35', '25', '23']"
model397.csv,18,25,72.0,"['145', '135', '134', '35', '34', '15', '14']"
model346.csv,19,25,76.0,"['145', '134', '124', '34', '15', '14']"
model36.csv,18,19,94.7,['234']
model22.csv,17,22,77.3,"['135', '134', '125', '34', '15']"
model427.csv,18,20,90.0,"['145', '234']"
model264.csv,20,21,95.2,['25']
model213.csv,19,25,76.0,"['145', '234', '125', '24', '15', '14']"
model175.csv,17,19,89.5,"['235', '234']"
model78.csv,16,21,76.2,"['145', '125', '134', '25', '15']"
model504.csv,21,27,77.8,"['235', '125', '123', '25', '15', '23']"
model319.csv,19,24,79.2,"['135', '134', '124', '34', '15']"
model257.csv,17,17,100.0,[]
model307.csv,17,22,77.3,"['145', '234', '134', '34', '24']"
model63.csv,21,24,87.5,"['234', '34', '24']"
model382.csv,19,21,90.5,"['235', '25']"
model331.csv,18,22,81.8,"['235', '125', '25', '15']"
model377.csv,16,18,88.9,"['235', '15']"
model514.csv,20,27,74.1,"['234', '125', '123', '25', '34', '24', '23']"
model195.csv,19,23,82.6,"['235', '125', '134', '25']"
model85.csv,17,22,77.3,"['145', '135', '134', '34', '15']"
model404.csv,18,25,72.0,"['235', '135', '134', '35', '34', '15', '23']"
model205.csv,17,24,70.8,"['145', '234', '134', '125', '34', '24', '15']"
model193.csv,18,22,81.8,"['235', '134', '125', '34']"
model269.csv,17,22,77.3,"['135', '234', '134', '34', '15']"
model162.csv,16,22,72.7,"['145', '234', '125', '134', '25', '34']"
model169.csv,23,24,95.8,['125']
model291.csv,19,24,79.2,"['234', '134', '124', '34', '24']"
model165.csv,19,23,82.6,"['145', '125', '134', '25']"
model516.csv,21,27,77.8,"['234', '134', '123', '34', '24', '23']"
model459.csv,20,25,80.0,"['145', '125', '124', '15', '14']"
model422.csv,15,16,93.8,['145']
model167.csv,19,23,82.6,"['145', '134', '125', '34']"
model247.csv,19,23,82.6,"['125', '124', '25', '15']"
model350.csv,18,25,72.0,"['235', '145', '134', '124', '34', '15', '23']"
model174.csv,17,19,89.5,"['235', '15']"
model108.csv,14,20,70.0,"['235', '234', '125', '134', '25', '34']"
model326.csv,16,18,88.9,"['235', '15']"
model511.csv,18,27,66.7,"['235', '145', '234', '134', '45', '34', '24', '15', '23']"
model385.csv,19,23,82.6,"['235', '125', '25', '15']"
model372.csv,19,24,79.2,"['234', '125', '124', '25', '34']"
